# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: /home/jonathan/Desktop/sukesChip/DE10_NANO_SoC_GHRD_pin_planner_hardwareV2.csv
# Generated on: Tue Sep 17 11:26:46 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Location,Direction,I/O Bank,I/O Standard,VREF Group,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation,Fitter Location
ADC_CLKINN,PIN_Y19,Output,5A,2.5 V,B5A_N0,,8ma,1,,,,,,,,,,,PIN_Y19
ADC_CLKINP,PIN_AA19,Output,4A,2.5 V,B4A_N0,,8ma,1,,,,,,,,,,,PIN_AA19
ADC_DATA_LINES[7],PIN_Y11,Input,3A,LVDS,B3A_N0,,,,ADC_DATA_LINES[7](n),,,,,,,,,,PIN_Y11
ADC_DATA_LINES[6],PIN_Y17,Input,5A,LVDS,B5A_N0,,,,ADC_DATA_LINES[6](n),,,,,,,,,,PIN_Y17
ADC_DATA_LINES[5],PIN_AC22,Input,4A,LVDS,B4A_N0,,,,ADC_DATA_LINES[5](n),,,,,,,,,,PIN_AC22
ADC_DATA_LINES[4],PIN_D12,Input,8A,LVDS,B8A_N0,,,,ADC_DATA_LINES[4](n),,,,,,,,,,PIN_D12
ADC_DATA_LINES[3],PIN_AF22,Input,4A,LVDS,B4A_N0,,,,ADC_DATA_LINES[3](n),,,,,,,,,,PIN_AF22
ADC_DATA_LINES[2],PIN_AG23,Input,4A,LVDS,B4A_N0,,,,ADC_DATA_LINES[2](n),,,,,,,,,,PIN_AG23
ADC_DATA_LINES[1],PIN_AF25,Input,4A,LVDS,B4A_N0,,,,ADC_DATA_LINES[1](n),,,,,,,,,,PIN_AF25
ADC_DATA_LINES[0],PIN_Y15,Input,4A,LVDS,B4A_N0,,,,ADC_DATA_LINES[0](n),,,,,,,,,,PIN_Y15
ADC_DATA_LINES[0](n),PIN_AA15,Input,4A,LVDS,B4A_N0,,,,ADC_DATA_LINES[0],,,,,,,,,,PIN_AA15
ADC_DATA_LINES[1](n),PIN_AG25,Input,4A,LVDS,B4A_N0,,,,ADC_DATA_LINES[1],,,,,,,,,,PIN_AG25
ADC_DATA_LINES[2](n),PIN_AF23,Input,4A,LVDS,B4A_N0,,,,ADC_DATA_LINES[2],,,,,,,,,,PIN_AF23
ADC_DATA_LINES[3](n),PIN_AF21,Input,4A,LVDS,B4A_N0,,,,ADC_DATA_LINES[3],,,,,,,,,,PIN_AF21
ADC_DATA_LINES[4](n),PIN_C12,Input,8A,LVDS,B8A_N0,,,,ADC_DATA_LINES[4],,,,,,,,,,PIN_C12
ADC_DATA_LINES[5](n),PIN_AC23,Input,4A,LVDS,B4A_N0,,,,ADC_DATA_LINES[5],,,,,,,,,,PIN_AC23
ADC_DATA_LINES[6](n),PIN_Y18,Input,5A,LVDS,B5A_N0,,,,ADC_DATA_LINES[6],,,,,,,,,,PIN_Y18
ADC_DATA_LINES[7](n),PIN_AA11,Input,3A,LVDS,B3A_N0,,,,ADC_DATA_LINES[7],,,,,,,,,,PIN_AA11
ADC_RESET,PIN_AG28,Output,4A,2.5 V,B4A_N0,,minimum current,0,,,,,,,,,,,PIN_AG28
ADC_SCLK,PIN_AF28,Output,4A,2.5 V,B4A_N0,,minimum current,0,,,,,,,,,,,PIN_AF28
ADC_SDATA,PIN_AE25,Output,5A,2.5 V,B5A_N0,,minimum current,0,,,,,,,,,,,PIN_AE25
ADC_SEN,PIN_AF27,Output,4A,2.5 V,B4A_N0,,minimum current,0,,,,,,,,,,,PIN_AF27
BIT_CLK,PIN_V12,Input,3B,LVDS,B3B_N0,,,,BIT_CLK(n),,,,,,,,,,PIN_V12
COMLED[4],PIN_E8,Output,8A,2.5 V,B8A_N0,,minimum current,0,,,,,,,,,,,PIN_E8
