To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
BLUE_LED,Unknown,PIN_Y11,3A,B3A_N0,,,,,,,,,,,,,,
CLKINP,Unknown,PIN_V12,3B,B3B_N0,,,,,,,,,,,,,,
D1,Unknown,PIN_AF15,4A,B4A_N0,LVDS,,,,D1(n),,,,,,,,,
D1(n),Unknown,PIN_AE15,4A,B4A_N0,LVDS,,,,D1,,,,,,,,,
D2,Unknown,PIN_AF22,4A,B4A_N0,LVDS,,,,D2(n),,,,,,,,,
D2(n),Unknown,PIN_AF21,4A,B4A_N0,LVDS,,,,D2,,,,,,,,,
D3,Unknown,PIN_AG23,4A,B4A_N0,LVDS,,,,D3(n),,,,,,,,,
D3(n),Unknown,PIN_AF23,4A,B4A_N0,LVDS,,,,D3,,,,,,,,,
D4,Unknown,PIN_AF25,4A,B4A_N0,LVDS,,,,D4(n),,,,,,,,,
D4(n),Unknown,PIN_AG25,4A,B4A_N0,LVDS,,,,D4,,,,,,,,,
D5,Unknown,PIN_AA19,4A,B4A_N0,LVDS,,,,D5(n),,,,,,,,,
D5(n),Unknown,PIN_AA18,4A,B4A_N0,LVDS,,,,D5,,,,,,,,,
D6,Unknown,PIN_AF17,4A,B4A_N0,LVDS,,,,D6(n),,,,,,,,,
D6(n),Unknown,PIN_AG16,4A,B4A_N0,LVDS,,,,D6,,,,,,,,,
D7,Unknown,PIN_AC22,4A,B4A_N0,LVDS,,,,D7(n),,,,,,,,,
D7(n),Unknown,PIN_AC23,4A,B4A_N0,LVDS,,,,D7,,,,,,,,,
D8,Unknown,PIN_AE24,4A,B4A_N0,LVDS,,,,D8(n),,,,,,,,,
D8(n),Unknown,PIN_AE23,4A,B4A_N0,LVDS,,,,D8,,,,,,,,,
GREEN_LED,Unknown,PIN_AA11,3A,B3A_N0,,,,,,,,,,,,,,
PDN,Unknown,PIN_AA20,5A,B5A_N0,,,,,,,,,,,,,,
RESET,Unknown,PIN_AC24,5A,B5A_N0,,,,,,,,,,,,,,
SCLK,Unknown,PIN_W12,3B,B3B_N0,,,,,,,,,,,,,,
SDATA,Unknown,PIN_D8,8A,B8A_N0,,,,,,,,,,,,,,
SDOUT,Unknown,PIN_D11,8A,B8A_N0,,,,,,,,,,,,,,
SEN,Unknown,PIN_E8,8A,B8A_N0,,,,,,,,,,,,,,
WHITE_LED,Unknown,PIN_Y19,5A,B5A_N0,,,,,,,,,,,,,,
bit_clk,Unknown,PIN_AG13,4A,B4A_N0,LVDS,,,,bit_clk(n),,,,,,,,,
bit_clk(n),Unknown,PIN_AF13,4A,B4A_N0,LVDS,,,,bit_clk,,,,,,,,,
clk_50,Unknown,PIN_V11,3B,B3B_N0,,,,,,,,,,,,,,
frame_clk,Unknown,PIN_U14,4A,B4A_N0,LVDS,,,,frame_clk(n),,,,,,,,,
frame_clk(n),Unknown,PIN_U13,4A,B4A_N0,LVDS,,,,frame_clk,,,,,,,,,
start_trigger,Unknown,PIN_AH17,4A,B4A_N0,,,,,,,,,,,,,,
